activity_id,access_seq,week,eclo,access_night
A025,6,15,0,2
A025,7,16,0,2
A025,8,19,0,1
A025,9,20,0,1
A025,10,23,0,2
A025,11,24,0,2
A025,12,26,0,2
A028,1,9,0,3
A028,2,11,0,3
A031,1,1,0,3
A031,2,9,0,3
A035,1,1,0,3
A035,2,2,0,3
A035,3,3,0,3
A035,4,5,0,3
A035,5,6,0,3
A035,6,7,0,3
A035,7,8,0,3
A035,8,9,0,2
A035,9,10,0,1
A035,10,12,0,1
A035,11,13,0,3
A035,12,14,0,3
A035,13,15,0,2
A035,14,16,0,3
A035,15,18,0,3
A035,16,19,0,2
A035,17,24,0,1
A035,18,26,0,1
A036,1,22,0,2
A036,2,23,0,3
A036,3,24,0,3
A036,4,25,0,3
A036,5,26,0,3
A036,6,27,0,3
A036,7,28,0,3
A037,1,8,0,2
A037,2,9,0,1
A038,1,10,0,2
A038,2,15,0,3
A038,3,16,0,1
A039,1,14,0,2
A039,2,15,0,1
A039,3,18,0,2
A039,4,19,0,3
A039,5,20,0,1
A039,6,24,0,2
A039,7,26,0,2
A040,1,13,0,3
A040,2,14,0,3
A040,3,17,0,3
A040,4,20,0,1
A040,5,23,0,2
A040,6,24,0,3
A040,7,26,0,2
A041,1,11,0,1
A041,2,12,0,3
A041,3,13,0,1
A041,4,14,0,2
A042,1,24,0,2
A042,2,25,0,1
A042,3,27,0,1
A043,1,13,0,2
A043,2,16,0,1
A046,1,9,0,3
A046,2,10,0,3
A046,3,14,0,1
A046,4,18,0,2
A046,5,26,0,1
A047,1,13,0,3
A047,2,19,0,2
A047,3,25,0,3
A047,4,27,0,2
A048,1,1,0,3
A048,2,2,0,3
A048,3,3,0,3
A048,4,4,0,3
A049,1,8,0,3
A049,2,9,0,3
A049,3,10,0,3
A049,4,11,0,3
A049,5,12,0,3
A049,6,13,0,2
A049,7,14,0,3
A049,8,15,0,3
A049,9,16,0,3
A049,10,17,0,3
A049,11,18,0,3
A049,12,19,0,3
A049,13,20,0,2
A049,14,23,0,1
A049,15,24,0,3
A050,1,17,0,2
A050,2,20,0,3
A051,1,26,0,3
A051,2,27,0,3
A054,1,17,0,2
A054,2,18,0,2
A055,1,16,0,3
A056,1,18,0,3
A056,2,19,0,1
A056,3,23,0,1
A056,4,24,0,3
A057,1,15,0,3
A057,2,17,0,3
A057,3,18,0,1
A057,4,19,0,3
A057,5,20,0,3
A057,6,23,0,2
A057,7,24,0,1
A058,1,4,0,3
A058,2,6,0,3
A058,3,11,0,3
A058,4,15,0,3
A058,5,16,0,3
A058,6,17,0,1
A058,7,19,0,2
A059,1,14,0,2
A059,2,15,0,1
A059,3,16,0,3
A059,4,17,0,1
A059,5,18,0,2
A059,6,19,0,1
A059,7,20,0,3
A060,1,13,0,1
A060,2,14,0,1
A060,3,15,0,2
A061,1,5,0,1
A061,2,7,0,1
A061,3,8,0,3
A061,4,9,0,3
A061,5,10,0,3
A061,6,11,0,3
A061,7,12,0,2
A061,8,14,0,3
A061,9,15,0,2
A061,10,18,0,3
A063,1,5,0,1
A063,2,6,0,3
A063,3,7,0,2
A063,4,8,0,3
A063,5,9,0,3
A063,6,10,0,3
A063,7,16,0,2
A064,1,16,0,1
A065,1,19,0,3
A065,2,23,0,3
A066,1,27,0,1
A069,1,11,0,2
A069,2,15,0,2
A069,3,16,0,3
A069,4,17,0,3
A069,5,19,0,1
A069,6,20,0,2
A070,1,11,0,1
A070,2,12,0,1
A070,3,13,0,2
A070,4,15,0,1
A070,5,20,0,3
A071,1,22,0,3
A072,1,27,0,3
A073,1,27,0,1
A074,1,21,0,2
A075,1,29,0,2
