activity_id,access_seq,week,eclo,access_night
A001,1,22,0,1
A001,2,24,0,1
A002,1,1,0,3
A002,2,8,0,1
A002,3,9,0,1
A002,4,10,0,1
A002,5,11,0,2
A002,6,12,0,1
A002,7,13,0,3
A002,8,14,0,1
A002,9,16,0,3
A002,10,18,0,2
A002,11,23,0,2
A003,1,11,0,2
A003,2,12,0,3
A003,3,13,0,1
A003,4,14,0,2
A003,5,19,0,3
A004,1,21,0,3
A004,2,22,0,1
A004,3,23,0,3
A006,1,2,0,3
A006,2,3,0,3
A006,3,4,0,3
A006,4,5,0,3
A006,5,6,0,3
A006,6,7,0,3
A006,7,8,0,3
A006,8,11,0,1
A006,9,12,0,3
A006,10,13,0,1
A006,11,15,0,2
A006,12,16,0,3
A006,13,17,0,2
A006,14,19,0,1
A007,1,15,0,1
A007,2,16,0,1
A007,3,17,0,3
A007,4,18,0,2
A007,5,19,0,3
A007,6,20,0,3
A007,7,23,0,2
A008,1,16,0,1
A008,2,21,0,1
A008,3,22,0,2
A008,4,25,0,2
A008,5,27,0,2
A009,1,2,0,2
A009,2,3,0,1
A009,3,8,0,3
A009,4,10,0,3
A009,5,12,0,3
A009,6,13,0,3
A009,7,19,0,2
A011,1,24,0,1
A011,2,26,0,1
A012,1,2,0,3
A012,2,3,0,3
A012,3,4,0,1
A012,4,5,0,1
A012,5,6,0,1
A012,6,7,0,2
A012,7,17,0,1
A013,1,22,0,3
A013,2,23,0,1
A013,3,24,0,2
A013,4,25,0,1
A013,5,26,0,2
A014,1,14,0,1
A014,2,15,0,1
A014,3,16,0,3
A014,4,17,0,1
A014,5,18,0,2
A014,6,21,0,2
A014,7,24,0,3
A017,1,17,0,2
A017,2,18,0,1
A017,3,19,0,2
A017,4,20,0,3
A017,5,23,0,2
A017,6,24,0,2
A017,7,26,0,2
A019,1,11,0,3
A019,2,12,0,3
A019,3,19,0,1
A019,4,20,0,2
A019,5,26,0,3
A020,1,13,0,2
A020,2,14,0,2
A020,3,18,0,3
A020,4,23,0,3
A020,5,26,0,1
A021,1,8,0,1
A021,2,9,0,2
A021,3,10,0,1
A021,4,11,0,2
A021,5,12,0,3
A021,6,13,0,3
A021,7,16,0,3
A021,8,23,0,3
A023,1,22,0,3
A023,2,23,0,1
A023,3,24,0,1
A023,4,25,0,1
A023,5,26,0,1
A023,6,27,0,3
A023,7,28,0,1
A025,1,8,0,3
A025,2,10,0,3
A025,3,12,0,1
A025,4,13,0,1
A025,5,14,0,3
